Name,Office,Address,Telephone,,,,
CHATTERTONS (INCORPORATING CRUSTS),BRN,64 Pinchbeck RoadPE11 1SY,01775 725664,spalding@chattertons.com, 01775 723625, http//www.chattertons.com,448388
CHATTERTONS INC PEAKE SNOW & JEUDWINE,BRN,5 Market StreetNG34 7SQ,01529 411500,sleaford@chattertons.com, 01529 414236, http//www.chattertons.com,260241
CHATTERTONS INCORPORATING KELHAMS,BRN,9 Broad StreetPE9 1PY,01780 764145,stamford@chattertons.com, 01780 766413, http//www.chattertons.com,463078
CHATTERTONS TRUSTEES,HO,28 Wide BargatePE21 6RT,01205 351114,operations@sra.org.uk, 01205 356018,,77860
CHATTERTONS TRUSTEES,BRN,5 South StreetLN9 6DS,01507 522456,operations@sra.org.uk, 01507 522445,,77861
CHATTERTONS TRUSTEES,BRN,5 Market StreetNG34 7SQ,01529 411500,operations@sra.org.uk, 01529 414236,,302320
CHATTERTONS TRUSTEES,BRN,64 Pinchbeck RoadPE11 1SY,1775725664,operations@sra.org.uk,1775765373,,389232
CHATTERTONS TRUSTEES,BRN,30 Avenue RoadNG31 6TH,01476 591550,operations@sra.org.uk, 01476 591552,,389239
CHATTERTONS TRUSTEES,BRN,Chatterton HouseLN6 3JY,01522 814601,operations@sra.org.uk, 01522 814601,,389242
CHATTERTONS TRUSTEES,BRN,9 Broad StreetPE9 1PY,01780 764 145,operations@sra.org.uk, 01780 766 413,,488701
CHAUNCY & CO. SOLICITORS,HO,Peek HouseEC3M 1EB,020 7929 0330,law@chauncy.co.uk, 020 7929 0440, http//www.chauncy.co.uk,290348
CHEBSEY LAW LIMITED,HO,51 London EndHP9 2HW,01494 670 440,operations@sra.org.uk, 01494 670 276, http//www.chebsey.com,513956
CHEETHAMS SOLICITORS,HO,Church FarmST19 5AP,01785 714761,office@cheethamssolicitors.co.uk, 01785 712041,,44963
CHENNELLS,HO,585 London RoadSS0 9PJ,01702 352195,ckb@chennellssolicitors.co.uk, 01702 430415, http//www.chennellssolicitors.co.uk,49029
CHERYL LEWIS & CO,HO,Chancery HouseCH41 4FN,0151 652 1451,info@cheryllewis.co.uk, 0151 653 9766, http//www.cheryllewis.co.uk,63102
CHESHAM & CO,HO,5 Varley ParadeNW9 6SN,0208 205 3656,operations@sra.org.uk, 0208 905 9260,,518167
CHESTNUTTS,HO,660 Liverpool RoadPR8 3LT,01704 572 221,liz@chestnutts.co.uk, 01704 572 224, http//www.chestnutts.co.uk,209088
CHEYNEY GOULDING LLP,HO,Ward HouseGU1 4LH,01483 567 676,operations@sra.org.uk, 01483 300 538, http//www.cheyneygoulding.co.uk,471951
CHHOKAR & CO,HO,29a The BroadwayUB1 1JY,020 8574 2488,law@chhokar.com, 020 8574 2752, http//www.chhokar.com,78981
CHILD & CHILD,HO,14 Grosvenor CrescentSW1X 7EE,020 7235 8000,info@childandchild.co.uk, 020 7235 9447, http//www.childandchild.co.uk,44981
CHILD & CHILD,BRN,79 KnightsbridgeSW1X 7RB,0207 235 1288,operations@sra.org.uk, 0207 235 9447,,471895
CHIU & BENSON,HO,23 HaymarketSW1Y 4DG,020 7930 1133,operations@sra.org.uk, 020 7930 1188,,258755
CHIVERS EASTON BROWN,HO,420-424 Ewell RoadKT6 7EH,020 8390 0081,reception@chiverseb.co.uk, 020 8390 8651, http//www.chiverseb.co.uk,222997
CHIVERS EASTON BROWN,BRN,381 Ewell RoadKT6 7DF,020 8390 6155,reception@chiverseb.co.uk, 020 8390 6603, http//www.chiverseb.co.uk,222998
CHRIS HARRISON LAW,HO,High CrossTR1 2AJ,01872 241408,rjp@chrisharrisonlaw.com, 01872 273848, http//www.chrisharrisonlaw.com,61613
CHRIS KALLIS SOLICITORS,HO,33 NORTH ROAD EASTPL4 6AY ,01752 225060,info@chriskallis.co.uk, 01752 266001, http//www.chriskallis.co.uk,330956
CHRIS MIDDLETON SOLICITOR,HO,BlandingsS60 3AY,01709 365020,cnmam@waitrose.com, 01709 365020,,323385
CHRISTINE LEE AND CO (SOLICITORS) LIMITED,BRN,171 Wardour StreetW1F 8WS,0207 287 6233,christineleelondon@christine-lee.co.uk, 0207 287 2263,,363282
CHRISTINE SHARP & CO,HO,13 York StreetOL10 4NN,01706 623513,christinesharp@btconnect.com, 01706 626800,,79635
CHRISTOPHER DAVIDSON SOLICITORS,HO,2-3 Oriel TerraceGL50 1XP,01242 581481,info@cdlaw.co.uk, 01242 221210, http//www.cdlaw.co.uk,57938
CHRISTOPHER GIGG LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.co.uk,518216
CHRISTOPHER GREEN MCCARRAHERS,HO,5 College PlaceSO15 2UT,023 8063 2733,enquiries@c-g-m.co.uk, 023 8033 0954, http//www.c-g-m.co.uk,323562
CHRISTOPHER GREEN MCCARRAHERS,BRN,2a High Street & 4a High StreeSO45 6YW,023 8084 2765,enquiries@c-g-m.co.uk, 023 8084 6732, http//www.c-g-m.co.uk,323663
CHRISTOPHER HARRIS & CO,HO,202 High StreetME12 1UQ,01795 661521,info@christopher-harris.org.uk, 01795 661487, http//www.christopherharris.org.uk,50672
CHRISTOPHER HARRIS & CO,BRN,20 West StreetME10 1AB,01795 437268,info@christopherharris.org.uk, 01795 473183, http//www.christopher-harris.org.uk,347576
CHRISTOPHER MATHEW SOLICITORS,HO,1 Olympic WayHA9 0NP,0208 782 1142,SOLICITORS@CHRISTOPHERMATHEW.COM, 020 8782 1134, http//www.christophermathew.com,488460
CHRISTOPHER MURRATT LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200,chris.murratt@actons.co.uk,, http//www.actons.co.uk,419904
CHRISTOPHER MURRATT LIMITED,BRN,20 Regent StreetNG1 5BQ,,operations@sra.org.uk,,,419908
CHRISTOPHER WRIGHT & CO,HO,6th Floor  Regal HouseTW1 3QS,020 8607 9666,info@cwrightandco.co.uk, 020 8607 9777, http//www.cwrightandco.co.uk,79702
CHRISTOS WYBREW KENNETH SHAW & CO,HO,39a Church StreetEN2 6AJ,020 8367 0840,operations@sra.org.uk, 020 8363 3861,,55082
CHUA'S SOLICITORS,HO,6 Bream's BuildingsEC4A 1QL,0207 242 6789,mail@chuas.co.uk, 0207 242 6790, http//www.chuassolicitors.co.uk,282088
CHUBB BULLEID LIMITED,BRN,Langler HouseTA11 7LZ,01749 836100,solicitor@chubb-bulleid.co.uk, 01458 274019, http//www.chubb-bulleid.co.uk,420524
CHUBBLAW LIMITED,HO,Meadow OfficeS45 0HE,01246 591 249,nec@chubblawcomm.co.uk, 01246 591 252,,382152
CHURCHERS,HO,12 High StreetPO16 7BL,01329 822333,solicitors@churchers.co.uk, 01329 822267, http//www.churchers.co.uk,45008
CHURCHERS,BRN,60-62 Northern RoadPO6 3DX,023 9221 0170,solicitors@churchers.co.uk, 023 9221 0069, http//www.churchers.co.uk,45009
CHURCHERS,BRN,138 High StreetPO13 9DG,023 9255 1500,solicitors@churchers.co.uk, 023 9255 2796,,45010
CHURCHERS,BRN,3 High StreetPO12 1BX,023 9260 3400,solicitors@churchers.co.uk, 023 9251 1639, http//www.churchers.co.uk,45011
CHURCHERS,BRN,Enterprise HousePO1 2AF,023 9286 2424,solicitors@churchers.co.uk, 023 9286 1880, http//www.churchers.co.uk,223313
CHURCHERS,BRN,Langstone GatePO9 1TR,,operations@sra.org.uk,,,490343
CHURCHERS BRADING BRANCH,BRN,2 FernsidePO36 0BP,02392 862424,solicitors@churchers.co.uk, 02392 861880, http//www.churchers.co.uk,524438
CITY LAW FINANCIAL LLP,HO,1 Kings Arms YardEC2R 7AF,0207 367 0100,info@city-law.net, 0207 022 1592, http//www.city-law.net,509651
CITY LAWYERS (PERSONAL INJURY) LIMITED,HO,5 Woodland CourtAL3 6NR,01727 739 774,enquiries@city-lawyers.com, 01727 812 916, http//www.city-lawyers.com,520457
CITY TOWER SECRETARIAL SERVICES LIMITED,HO,40 Basinghall StreetEC2V 5DE,0207 588 9080,timothyeppel@mcfaddenslaw.co.uk, 0207 7628 7708,,445453
CITYGATE SOLICITORS,HO,3a Old Montague StreetE1 5NL,020 7375 2930,info@citygatesolicitors.co.uk, 020 7377 1454, http//www.citygatesolicitors.co.uk,267122
CK SOLICITORS,HO,Clock HousePO20 0QE,01243 603393,simon@cksolicitors.co.uk, 01243 603394, http//www.cksolicitors.co.uk,424173
CKFT,HO,25-26 Hampstead High StreetNW3 1QA,020 7431 7262,jrook@ckft.com, 020 7431 7261, http//www.ckft.com,74851
CLAIRE BELL LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200,claire.bell@actons.co.uk,, http//www.actons.co.uk,400374
CLAREMONT RICHARDS,HO,12 Bridewell PlaceEC4V 6AP,020 7353 3030,hrichards@claremontrichards.com, 020 7353 9055,,75186
CLARION SOLICITORS LLP,HO,Britannia ChambersLS1 3AX,0113 246 0622,enquiries@clarionsolicitors.com, 0113 246 7488, http//www.clarionsolicitors.com,484781
CLARK BROOKES,HO,2 Lombard Street WestB70 8EH,0121 553 2576,operations@sra.org.uk, 0121 500 5021, http//www.clarkbrookes.co.uk,45046
CLARK HOLT,HO,Hardwick HouseSN1 3LJ,01793 617444,richardc@clarkholt.com, 01793 617436, http//www.clarkholt.com,190833
CLARK RICKETTS LLP,HO,3rd FloorWC2B 6TP,020 7240 6767,aviationlaw@clarkricketts.com, 020 7836 0699, http//www.clarkricketts.com,463499
CLARKE & SON LLP,HO,Manor HouseRG21 8UG,01256 320555,mail@clarkeandson.co.uk, 01256 843150, http//www.clarkeandson.co.uk,462041
CLARKE MAIRS LLP,HO,Royal HouseNE1 6JN,0845 111 0795,law@clarkemairs.com, 0845 111 0794, http//www.clarkemairs.com,469133
CLARKE WILLMOTT LLP,HO,138 Edmund StreetB3 2ES,0845 209 1000,operations@sra.org.uk, 0845 209 2001, http//www.clarkewillmott.com,510689
CLARKE WILLMOTT LLP,BRN,1 Georges SquareBS1 6BA,0845 209 1000,operations@sra.org.uk,8452092002, http//www.clarkewillmott.com,512912
CLARKE WILLMOTT LLP,BRN,Burlington HouseSO30 2AF,0845 209 1000,operations@sra.org.uk,8452092003,,512913
CLARKE WILLMOTT LLP,BRN,Blackbrook GateTA1 2PG,0845 209 1000,operations@sra.org.uk, 0845 209 2004, http//www.clarkewillmott.com,512914
CLARKE WILLMOTT TRUST CORPORATION LIMITED,HO,1 Georges SquareBS1 6BA,0845 209 1000,nigel.lindsay@clarkewillmott.com, 0845 209 2002,,468201
CLARKE WILLMOTT TRUST CORPORATION LIMITED,BRN,138 Edmund StreetB3 2ES,0845 209 1000,operations@sra.org.uk, 0845 209 2001,,468202
CLARKE WILLMOTT TRUST CORPORATION LIMITED,BRN,Burlington HouseSO30 2DF,0845 209 1000,operations@sra.org.uk, 0845 209 2003,,468203
CLARKE WILLMOTT TRUST CORPORATION LIMITED,BRN,Blackbrook GateTA1 2PG,0845 2009 1000,operations@sra.org.uk, 0845 209 2004,,468204
CLARKES,HO,Hazeldine HouseTF3 4JL,01952 291666,telford@clarkeslaw.co.uk, 01952 291331, http//www.clarkeslaw.co.uk,45055
CLARKES,BRN,30 Market StreetTF2 6ED,01952 618787,oakengates@clarkeslaw.co.uk, 01952 616298, http//www.clarkeslaw.co.uk,45056
CLARKES,BRN,Kingston HouseSY1 1UL,01743 231531,shrewsbury@clarkeslaw.co.uk, 01743 351860, http//www.clarkeslaw.co.uk,45059
CLARKES,BRN,7 Landau CourtTF1 1HE,01952 223548,wellington@clarkeslaw.co.uk, 01952 222042, http//www.clarkeslaw.co.uk,402750
CLARKES,BRN,21 High StreetTF10 7AT,01952 281060,newport@clarkeslaw.com, 01952 405142, http//www.clarkeslaw.co.uk,467811
CLARKS TRUSTEES LIMITED,HO,One Forbury SquareRG1 3EB,0118 958 5321,operations@sra.org.uk, 0118 960 4611,,386352
CLARKSLEGAL LLP,HO,One Forbury SquareRG1 3EB,0118 958 5321,contactus@clarkslegal.com, 0118 939 5733, http//www.clarkslegal.com,403601
CLARKSLEGAL LLP,BRN,12-13 Henrietta StreetWC2E 8LH,0207 539 8000,operations@sra.org.uk, 0207 539 8001, http//www.clarkslegal.com,403604
CLARKSON HIRST,HO,73 Church StreetLA1 1ET,01524 39760,mw@clarksonhirst.com, 01524 67242, http//www.clarksonhirst.com,70027
CLARKSON WRIGHT & JAKES LLP,HO,Valiant HouseBR6 0PG,01689 887887,cwj@cwj.co.uk, 01689 887888, http//www.cwj.co.uk,486938
CLAUSEN MILLER EUROPE,HO,41 EastcheapEC3M 1DT,020 7645 7970,jstartin@clausen.com, 020 7645 7971, http//www.clausen.com,303240
CLAUSEN MILLER LLP,HO,41 EastcheapEC3M 1DT,0207 645 7970,jbeacham@clausen.com, 0207 645 7971, http//www.clausenmiller.co.uk,365847
CLAYTON MOTT,HO,19 Milton StreetNG1 3EU,0115 941 7422,advice@claytibmott.co.uk, 0115 948 3993, http//www.claytonmott.co.uk,45112
CLEGG MANUEL LLP,HO,26-27 Great Sutton StreetEC1V 0DS,020 7847 5600,mail@cleggmanuel.co.uk, 020 7608 0015, http//www.cleggmanuel.co.uk,508756
CLEGGS SOLICITORS,HO,Apex CourtNG11 7DD,0115 9775877,mail@cleggssolicitors.com, 0115 9775888, http//www.cleggssolicitors.com,45127
CLIFFORD CHANCE LLP,HO,10 Upper Bank StreetE14 5JJ,020 7006 1000,operations@sra.org.uk, 020 7006 5555, http//www.cliffordchance.com,447778
CLIFFORD CHANCE LLP,BRN,4 Coleman StreetEC2R 5JJ,020 7006 1000,operations@sra.org.uk, 020 7006 5555,,449734
CLIFFORD CHANCE NOMINEES LIMITED,HO,10 Upper Bank StreetE14 5JJ,020 7600 1000,operations@sra.org.uk, 020 7600 5555,,174208
CLIFFORD CHANCE SECRETARIES (CCA) LIMITED,HO,10 Upper Bank StreetE14 5JJ,44 020 7600 1000,operations@sra.org.uk, 44 020 7600 5555,,324649
CLIFFORD CHANCE SECRETARIES LIMITED,HO,10 Upper Bank StreetE14 5JJ,020 7600 1000,operations@sra.org.uk, 020 7600 5555,,174221
CLIFFORD HARRIS & CO,HO,PO Box 4uaW1A 4UA,0207 7486 0031,sv@cliffordharris.co.uk, 0207 486 3333, http//www.cliffordharris.co.uk,50673
CLIFTON INGRAM LLP,HO,22-24 Broad StreetRG40 1BA,0118 978 0099,info@cliftoningram.co.uk, 0118 977 1122, http//www.cliftoningram.co.uk,440465
CLIFTON INGRAM LLP,BRN,County HouseRG1 1DB,0118 957 3425,info@cliftoningram.co.uk, 0118 959 7302, http//www.cliftoningram.co.uk,517015
CLIFTON OWEN,HO,Park ChambersSL6 5FH,01628 783891,info@clifton-owen.co.uk, 01628 783894, http//www.clifton-owen.co.uk,66867
CLINTONS,HO,55 Drury LaneWC2B 5RZ,020 7379 6080,jseigal@clintons.co.uk, 020 7240 9310, http//www.clintons.co.uk,45165
CLIVE SHEPHERD & CO,HO,25 Station StreetWS2 9JZ,01922 647797,operations@sra.org.uk, 01922 641284,,55120
CLIVE SUTTON SOLICITOR,HO,Buckland ManorSO41 8NP,01590 672595,solicitor@clive-sutton.co.uk, 01590 671466,,287282
CLONEY & CO,HO,34-36 Orchard RoadFY8 1PF,01253 712 116,info@cloneyco.com, 01253 721 218,,362824
CLOSE THORNTON LLP,HO,2 Duke StreetDL3 7AB,01325 466461,law@close-thornton.co.uk, 01325 465121, http//www.close-thornton.co.uk,499962
CLOUGH & WILLIS,HO,2 Manchester RoadBL9 0DT,0161 764 5266,info@clough-willis.co.uk, 0161 797 6157, http//www.clough-willis.co.uk,60325
CLOUGH & WILLIS,BRN,Knowsley HouseBL9 0ST,0161 761 4730,info@clough-willis.co.uk,, http//www.clough-willis.co.uk,403638
CLYDE & CO LLP,HO,51 EastcheapEC3M 1JP,020 7623 1244,Graham.Holliday@clydeco.com, 020 7623 5427, http//www.clydeco.com,460690
CLYDE & CO LLP,BRN,Corn ExchangeEC3R 7NE,020 7623 1244,operations@sra.org.uk, 020 7623 5427, http//www.clydeco.com,462912
CLYDE & CO LLP,BRN,1 Stoke RoadGU1 4HW,01483 555555,operations@sra.org.uk, 01483 567330, http//www.clydeco.com,462913
CMG LAW,HO,94 Chorley New RoadBL1 4DH,01204 467400,info@cmglaw.co.uk, 01204 845754,,520107
CMHT,HO,Lords Mill ChambersWS1 3QD,01922 646400/ 613333,operations@sra.org.uk, 01922 646469,,78803
CMHT,BRN,41 Anchor RoadWS9 8PT,01922 743525,operations@sra.org.uk, 01922 743164,,78804
CMHT,BRN,82 High StreetWS8 6EW,01543 372347,operations@sra.org.uk, 01543 373769,,78805
CMS CAMERON MCKENNA LLP,HO,Mitre HouseEC1A 4DD,+44 (0)20 7367 3000,operations@sra.org.uk, +44 (0) 20 7367 2000, http//www.cms-cmck.com,423370
CO-OPERATIVE GROUP LEGAL SERVICES,HO,New Century HouseM60 4ES,0161 827 5296,Philip.Hardman@co-op.co.uk, 0161 834 3147, http//www.co-op.co.uk,78446
COBBETTS (NOMINEES) LIMITED,HO,58 Mosley StreetM2 3HZ,0845 404 2404,enquiries@cobbetts.com, 0845 404 4144,,499217
COBBETTS (NOMINEES) LIMITED,BRN,1 Colmore SquareB4 6AJ,0845 404 2404,enquiries@cobbetts.com, 0845 404 2434,,499218
COBBETTS (NOMINEES) LIMITED,BRN,1 Whitehall RiversideLS1 4BN,0845 404 2404,enquiries@cobbetts.com, 0845 404 2424,,499226
COBBETTS (TRUSTEE) LIMITED,HO,58 Mosley StreetM2 3HZ,0845 404 2404,enquiries@cobbetts.com, 0845 404 4144,,497282
COBBETTS (TRUSTEE) LIMITED,BRN,1 Colmore SquareB4 6AJ,0845 404 2404,enquiries@cobbetts.com, 0845 404 2434,,497287
COBBETTS (TRUSTEE) LIMITED,BRN,1 Whitehall RiversideLS1 4BN,0845 404 2404,operations@sra.org.uk, 0845 404 2424,,497289
COBBETTS (TRUSTEE) LIMITED,BRN,70 Gray's Inn RoadWC1X 8BT,0845 404 2404,operations@sra.org.uk, 0845 404 4144,,497290
COBBETTS LEE CROWDER NOMINEES LIMITED,HO,58 Mosley StreetM2 3HZ,8454042404,enquiries@cobbetts.com,, http//enquiries@cobbetts.com,211008
COBBETTS LEE CROWDER NOMINEES LIMITED,BRN,1 Whitehall RiversideLS1 4BN,0845 4042404,operations@sra.org.uk, 0845 4042424,,490827
COBBETTS LEE CROWDER NOMINEES LIMITED,BRN,70 Gray's Inn RoadWC1X 8BT,0845 404 2404,operations@sra.org.uk, 0161 833 3030,,490829
COBBETTS LLP,HO,58 Mosley StreetM2 3HZ,0845 404 2404,lawyers@cobbetts.co.uk, 0845 404 2414, http//www.cobbetts.com,425778
COBBETTS LLP,BRN,1 Whitehall RiversideLS1 4BN,0845 4042404,operations@sra.org.uk, 0845 4042424, http//www.cobbetts.com,425779
COBBETTS LLP,BRN,One Colmore SquareB4 6AJ,0845 4042404,enquiries@cobbetts.co.uk, 0845 4042434, http//www.cobbetts.com,425780
COBBETTS LLP,BRN,70 Gray's Inn RoadWC1X 8BT,0845 404 2404,enquiries@crobetts.com, +44 161 833 3030, http//cobbetts.com,467565
COCKERTONS,HO,Bridge StreetDE45 1DS,01629 812613,enquiries@cockertonslegal.com, 01629 814781, http//www.cockertonslegal.com,49982
COCKS LLOYD,HO,Riversley HouseCV11 5TX,024 7664 1642,sol@cockslloyd.co.uk, 024 7664 1610, http//www.cockslloyd.co.uk,45211
COFFEY GRAHAM LLP,HO,1-6 Yarmouth PlaceW1J 7BU,020 3145 1170,info@coffeygraham.com,, http//www.coffeygraham.com,492871
COFFIN MEW LLP,BRN,Kings Park HouseSO15 2UF,023 8033 4661,info@coffinmew.co.uk, 023 8033 0956, http//www.coffinmew.co.uk,463140
COFFIN MEW LLP,BRN,Bay HousePO6 4RS,023 9238 8021,info@coffinmew.co.uk, 023 9221 0952, http//www.coffinmew.co.uk,463145
COHEN CRAMER INCORPORATING HUDSON & ASSOCIATES,HO,St George HouseLS1 3DL,0113 244 0597,info@cohencramer.co.uk, 0113 298 7363, http//www.cohencramer.co.uk,499994
COHEN CRAMER INCORPORATING HUDSON & ASSOCIATES,BRN,65-67 Main StreetLA6 2AH,,operations@sra.org.uk,,,521188
COLEMANS,BRN,141 New London RoadCM2 0QT,01245 264 494,operations@sra.org.uk, 01245 494 537, http//www.colemans-solicitors.co.uk,346208
COLEMANS-CTTS LLP,HO,100 Talbot RoadM16 0PG,0161 876 2500,enquiries@colemans-ctts.co.uk, 0161 876 2501, http//www.colemans-ctts.co.uk,488127
COLEMANS-CTTS LLP,BRN,25-29 High StreetKT1 1LL,020 8296 9966,operations@sra.org.uk, 020 8546 1400,,488133
COLEMANS-CTTS LLP,BRN,Suite B1 3rd Floor  NorthsideEN4 9EB,0208 275 8418,operations@sra.org.uk, 0208 4401864,,488256
COLES MILLER SOLICITORS LLP,HO,44-46 Parkstone RoadBH15 2PG,01202 673011,office@coles-miller.co.uk, 01202 675868, http//www.coles-miller.co.uk,440598
COLES MILLER SOLICITORS LLP,BRN,260-266 Charminster RoadBH8 9RS,01202 511512,office@coles-miller.co.uk, 01202 530957, http//www.coles-miller.co.uk,440599
COLES MILLER SOLICITORS LLP,BRN,Arrowsmith CourtBH18 8AX,01202 694891,office@coles-miller.co.uk, 01202 694920, http//www.coles-miller.co.uk,440602
COLES MILLER SOLICITORS LLP,BRN,4 Durley Chine RoadBH2 5QT,01202 293226,office@coles-miller.co.uk,1202294963, http//www.coles-miller.co.uk,465180
COLEY & TILLEY,HO,Neville HouseB2 5UF,0121 643 5531,pjc@coleyandtilley.co.uk, 0121 643 5711, http//www.coleyandtilley.co.uk,45324
COLIN RAYNER & CO,HO,546 Blackburn RoadBL1 8NW,01204 591145,colin@colinraynersolicitors.com, 01204 305877, http//www.colinraynersolicitors.com,44077
COLLINS BENSON GOLDHILL LLP,HO,26-28 Great Portland StreetW1W 8QT,020 7436 5151,cbg@cbglaw.co.uk, 020 7436 6122, http//www.cbglaw.co.uk,447266
COLLINS DRYLAND & THOROWGOOD LLP,HO,12 Hart StreetRG9 2AU,01491 572323,collins.dryland@collinsdryland.co.uk, 01491 576766,,424820
COLLINS DRYLAND & THOROWGOOD LLP,BRN,81-83 School RoadRG31 5AT,0118 942 2448,operations@sra.org.uk, 01491 576766,,424821
COLLINS DRYLAND & THOROWGOOD LLP,BRN,25 Wood LaneRG4 9SJ,0118 972 4222,operations@sra.org.uk, 0118 972 2885,,424822
COLLINS LONG,HO,24 Pepper StreetSE1 0EB,020 7401 9800,info@collinslong.com, 020 7401 9850, http//www.collinslong.com,209224
COLLINS SOLICITORS,HO,20 Station RoadWD17 1AR,01923 223324,collins@collinslaw.co.uk, 01923 211399, http//www.collinslaw.co.uk,79933
COLLYER BRISTOW LLP,HO,4 Bedford RowWC1R 4DF,020 7242 7363,cblaw@collyerbristow.com, 020 7405 0555, http//www.collyerbristow.com,441900
COLMAN COYLE LLP,HO,Wells HouseN1 0NU,020 7354 3000,inquiries@colmancoyle.com, 020 7354 2244, http//www.colmancoyle.com,437716
COLTMAN WARNER CRANSTON LLP,HO,Unit 3CV1 2TL,02476 627262,lcoltman@coltmanco.com, 02476 227691, http//www.coltmanco.com,427844
COMPLETE - THE LEGAL SHOP,BRN,5-6 Northumberland BuildingsBA1 2JE,,operations@sra.org.uk,,,460319
COMPLETE - THE LEGAL SHOP,BRN,1 Northumberland BuildingsBA1 2JB,01225 425731,enquiries@completehome.co.uk, 01225 352 901, http//www.completehome.co.uk,463196
COMPLETE LAW LLP,HO,39 Botley RoadSO31 1AY,01489 885788,operations@sra.org.uk, 01489 885546,,439474
COMPLETE LAW LLP,BRN,8b Carlton CrescentSO15 2UP,02380 224965,operations@sra.org.uk, 02380 330370,,439476
COMPLETE LAW LLP,BRN,Cockayne HouseRG5 3JH,0118 969 5514,operations@sra.org.uk, 0118 9697430,,517916
COMPTONS,HO,90-92 ParkwayNW1 7AN,020 7485 0888,advice@comptons.co.uk, 020 7485 1145, http//www.comptons.co.uk,63554
CONNELL ASSOCIATES,HO,Union Marine BuildingsL2 2SH,0151 236 2011,law@connellassociates.co.uk, 0151 236 2012, http//www.connellassociates.co.uk,70084
CONNER SOLICITORS,HO,Parkshot HouseTW9 2PR,020 8334 8044,info@connersolicitors.co.uk, 020 8334 8100, http//www.connersolicitors.co.uk,472932
CONSILIUM LEGAL,HO,Colman HouseB3 1RS,0845 241 5656,sat@consiliumlegal.com, 0845 241 5657, http//www.consiliumlegal.com,363174
CONSILIUM LEGAL,BRN,121 Livery StreetB3 1RS,0845 241 5656,sat@consiliumlegal.co, 0845 241 5658, http//www.consiliumlegal.com,403982
CONSTANTI SHAH SOLICITORS & ADVOCATES,HO,79 College RoadHA1 1BD,020 8998 4343,reception@constantishah.com, 020 8566 8285, http//www.constantishah.com,203180
CONWAY & CO,BRN,8 Reading RoadRG9 1AG,01491 411122,003@conwayandco.co.uk, 01491 576174,,70080
COODES,HO,8 Market StreetPL25 4BB,01726 874700,enquiries@coodes.co.uk, 01726 874799, http//www.coodes.co.uk,45421
COODES,BRN,Elizabeth HouseTR1 3AP,01872 246200,enquiries@coodes.co.uk, 01872 241122, http//www.coodes.co.uk,45423
COODES,BRN,10 Windsor PlacePL14 4BH,01579 347600,enquiries@coodes.co.uk, 01579 347947, http//www.coodes.co.uk,45424
COODES,BRN,6 Cheltenham PlaceTR7 1DQ,01637 878111,enquiries@coodes.co.uk, 01637 874732, http//www.coodes.co.uk,45426
COODES,BRN,8 Race HillPL15 9BA,01566 770000,enquiries@coodes.co.uk, 01566 770001, http//www.coodes.co.uk,45428
COODES,BRN,4 Bodmin StreetEX22 6BB,01409 253 425,enquiries@coodes.co.uk, 01409 253 439, http//www.coodes.co.uk,287435
COODES,BRN,49 Morrab RoadTR18 4EX,01736 362294,enquiries@coodes.co.uk, 01736 363533, http//www.coodes.co.uk,302621
COOK & PARTNERS,HO,241 Lower Addiscombe RoadCR0 6RD,020 8655 4466,cookp@btinternet.com, 020 8656 7755, http//www.jamaicalaw.net,45440
COOKE  YOUNG & KEIDAN LLP,HO,Candlewick HouseEC4N 6AS,020 7148 7800,linda.goodwin@cyklaw.com, 020 7283 1499, http//www.cyklaw.com,498407
COOLE & HADDOCK,HO,5 The SteyneBN11 3DT,01903 213511,operations@sra.org.uk, 01903 237053,,45459
COOLE & HADDOCK,BRN,14 CarfaxRH12 1ER,01403 210200,operations@sra.org.uk, 01403 241275,,45462
COOPER & CO,HO,PO Box 759YO30 6WR,01904 626266,trevor@animallaw.fsnet.co.uk, 01904 626216, http//www.doglaw.co.uk,258139
COOPER CARTER CLAREMONT LTD,HO,1 North StreetBN27 1DA,01323 847511,kareng@ccclaw.co.uk, 01323 440583, http//www.ccclaw.co.uk,400011
COOPER LINGARD,HO,Watson HouseSS9 2DA,01702 715411,enquiries@cooperlingard.co.uk, 01702 470029, http//www.cooperlingard.co.uk,45484
COOPER SONS HARTLEY & WILLIAMS,HO,9 Terrace RoadSK17 6DU,01298 77511,post@cshw.co.uk, 01298 72138, http//www.cshw.co.uk,45477
COOPER SONS HARTLEY & WILLIAMS,BRN,25 Market StreetSK23 0HS,01298 812138,legal@cshw.co.uk, 01298 815097,,45478
COOPER WHITEMAN,HO,34 Bloomsbury WayWC1A 2SA,020 7831 5222,law@cooperwhiteman.co.uk, 020 7831 4194, http//www.cooperwhiteman.co.uk,60194
COOPERBURNETT,HO,Napier HouseTN1 1EE,01892 515022,jps@cooperburnett.com, 01892 515088, http//www.cooperburnett.com,45480
COPES,HO,HammettsEX37 9ST,01769 581581,copeslegal@btinternet.com, 01769 581582, http//www.copessolicitors.co.uk,68028
COPES,BRN,Unit F  The CourtyardAL4 0AL,01727 816699,operations@sra.org.uk, 01727 840234,,327724
