Name,Office,Address,Telephone,,,,,
BLACKFORDS LLP,HO,Hill HouseCR0 1EA,020 8686 6232,,info@blackfords.com, 020 8681 5078,: http://www.blackfords.com,462078
BLACKFORDS LLP,BRN,Cleary CourtGU21 6HJ,01483 723331,,woking@blackfords.com, 01483 724441,: http://www.blackfords.com,462081
BLACKHURST BUDD LLP,HO,22 Edward StreetFY1 1BA,01253 629300,,info@blackhurstbudd.co.uk, 01253 629333,: http://www.blackhurstbudd.co.uk,489327
BLACKHURST BUDD LLP,BRN,Phoenix HouseFY1 3PG,01253 629300,,info@blackhurstbudd.co.uk, 01253 629333,: http://www.blackhurstbudd.co.uk,510447
BLAKE LAPTHORN,HO,Harbour CourtPO6 4ST,023 9222 1122,,info@bllaw.co.uk, 023 9222 1123,: http://www.bllaw.co.uk/,448793
BLAKE LAPTHORN,BRN,New Kings CourtSO53 3LG,023 809 08090,,info@bllaw.co.uk, 023 809 08092,: http://www.bllaw.co.uk/,448832
BLAKE LAPTHORN,BRN,Seacourt TowerOX2 0FB,01865 248607,,infor@bllaw.co.uk, 01865 244983,: http://www.bllaw.co.uk/,448859
BLAKE LAPTHORN,BRN,Watchmaker Court WestEC1M 4DB,020 7405 2000,,info@bllaw.co.uk, 020 7814 9421,: http://www.bllaw.co.uk/,448868
BLAKE LAPTHORN NOMINEES LTD,HO,Harbour CourtPO6 4ST,023 9222 1122,,operations@sra.org.uk, 023 9222 1123,,79296
BLAKE WOODFIELD LIMITED,HO,Norwich Union HouseNG1 2LJ,0115 958 7444,,admin@cartwrightking.co.uk, 0115 958 8666,: http://www.cartwrightking.co.uk,520540
BLAVO & CO SOLICITORS,HO,19 John StreetWC1N 2DL,0207 025 2020,,enquiries@legalblavo.co.uk, 0207 404 1650,: http://www.legalblavo.co.uk,258765
BLAVO & CO SOLICITORS,BRN,Central HouseN3 1LQ,020 7025 2020,,enquiries@legalblavo.co.uk, 020 7404 1650,: http://www.legalblavo.co.uk,486364
BLAVO & CO SOLICITORS,BRN,Suite 2 & 3  Phoenix HouseAL1 5FL,01727 732 800,,enquiries@legalblavo.co.uk, 01727 835 344,: http://www.legalblavo.co.uk,492836
BLAVO & CO SOLICITORS,BRN,Crossweys HouseGU1 3HY,01483 243 456,,enquiries@legalblavo.co.uk, 0207 404 1650,: http://www.legalblavo.co.uk,492837
BLAVO & CO SOLICITORS,BRN,5 Chase Side CrescentEN2 0JQ,0208 363 8296,,enquiries@blavolegal.co.uk, 0207 404 1650,: http://www.legalblavo.co.uk,492838
BLAVO & CO SOLICITORS,BRN,Affinity PointUB8 2RR,01895 204 848,,enquiries@legalblavo.co.uk, 0207 404 1650,: http://www.legalblavo.co.uk,492839
BLB SOLICITORS,BRN,56-57 Commercial RoadSN1 5NX,01793 615011,,info@blbsolicitors.co.uk, 01793 613842,: http://www.blbsolicitors.co.uk,47176
BLOCK ASSOCIATES LIMITED,HO,16-20 Victoria RoadRM1 2JT,01708 723399,,operations@sra.org.uk, 01708 723322,,404928
BLUESTONE & PARTNERS SOLICITORS LLP,HO,124 Upton LaneE7 9LW,0208 4702266,,info@bluestonesolicitors.co.uk, 0208 470 0333,: http://www.bluestonesolicitors.co.uk,369578
BOBBETTS MACKAN,HO,17 Berkeley SquareBS8 1HB,0117 929 9001,,info@bobbetts.com, 0117 922 5697,: http://www.bobbetts.co.uk,70535
BOLT BURDON KEMP,HO,Providence HouseN1 0NT,020 7288 4800,,info@boltburdonkemp.co.uk, 020 7288 4801,: http://www.boltburdonkemp.co.uk,62879
BOND PEARCE LLP,BRN,8th FloorEC3R 7LP,0845 415 0000,,info@bondpearce.com, 0845 415 6200,: http://www.bondpearce.co.,420697
BOND SOLICITORS,HO,62a  Belgrave CourtE14 8RL,0207 513 1113,,monica.bond@bondsolicitors.com, 0207 513 1114,: http://www.bondsolicitors.com,424424
BORNEOS LLP,BRN,Chancery HouseMK9 1JL,01908 696 002,,mail@borneos.co.uk, 01908 677 640,: http://www.borneos.co.uk,419645
BOWLING & CO,HO,62 BroadwayE15 1NG,020 8221 8000,,david.downham@bowlinglaw.co.uk, 020 8519 5504,: http://www.bowlinglaw.co.uk,70024
BOYES TURNER,HO,Abbots HouseRG1 3BD,0118 959 7711,,mail@boyesturner.com, 0118 957 3257,: http://www.boyesturner.com,47511
BRETHERTON LAW,HO,1st Floor  Alban RowAL3 4DG,01727 869293,,info@brethertonlaw.co.uk, 01727 853767,: http://www.brethertonlaw.co.uk,47684
BRIAN HARRIS & CO,HO,23 Bentinck StreetW1U 2EZ,020 7935 5541,,mail@brianharrislaw.com, 020 7935 6638,: http://www.brianharrislaw.com,61746
BRIAN MACKRELL & CO LTD,HO,First Floor OfficeBN3 1FA,01273 823 456,,bmacklaw@fsmail.net, 01273 729 910,,387494
BRISTOWS,HO,100 Victoria EmbankmentEC4Y 0DH,020 7400 8000,,info@bristows.com, 020 7400 8050,: http://www.bristows.com,44205
BRITANNIA LAW PRACTICE,HO,353b Birchfield RoadB20 3BJ,0121 356 3030,,info@britannialawpractice.com, 0121 345 0800,: http://www.britannialawpractice.com,494830
BROADBENTS,BRN,2 BroadwayNG17 1AL,01623 441123,,operations@sra.org.uk, 01623 559211,,44215
BROADWAY SOLICITORS,HO,4 Howarth CourtOL9 9XB,0161 669 6179,,atifa_ahmed@hotmail.co.uk, 0161 683 3294,,521139
BROOKLYN SOLICITORS,HO,Miller HouseHA1 2RZ,020 8861 4004,,info@brooklynsolicitors.com, 020 8861 4009,: http://www.brooklynsolicitors.com,366548
BROWN BEER NIXON MALLON,HO,22-24 Cleveland StreetTS10 1AP,01642 490202,,enquires@bbnm.co.uk, 01642 489187,,400733
BROWN BEER NIXON MALLON,BRN,153 Albert RoadTS1 2PS,01642 254182,,sandra@bbnm.co.uk, 01642 246330,,400748
BROWN RUDNICK LLP,HO,Egmont HouseW1S 2LQ,0207 851 6000,,slancaster@brownrudnick.com, 0207 851 6100,: http://www.brownrudnick.com,349936
BROWNE JACOBSON LLP,HO,44 Castle GateNG1 7BJ,0115 976 6000,,INFO@BROWNEJACOBSON.COM, 0115 947 5246,: http://WWW.BROWNEJACOBSON.COM,401163
BROWNE JACOBSON LLP,BRN,Victoria Square HouseB2 4BU,0121 237 3900,,birmingham@brownejacobson.com, 0121 236 1291,: http://www.brownejacobson.com,401164
BROWNE JACOBSON LLP,BRN,77 Gracechurch StreetEC3V 0AS,020 7337 1000,,lon@brownejacobson.com, 020 7929 1724,: http://www.brownejacobson.com,401165
BROWNE JACOBSON TRUSTEES LIMITED,HO,44 Castle GateNG1 7BJ,0115 976 6000,,operations@sra.org.uk, 0115 947 5246,,76540
BRYAN CAVE,HO,88 Wood StreetEC2V 7AJ,0203 207 1100,,operations@sra.org.uk, 0203 207 1881,: http://www.bryancave.com,72291
BSB SOLICITORS,HO,1st-3rd FloorsNW1 2SA,020 7837 3456,,info@bsblaw.co.uk, 020 7837 9696,: http://www.bsblaw.co.uk,365772
BTMK SOLICITORS LLP,HO,County ChambersSS1 1BB,01702 339222,,btmk@btmk.co.uk, 01702 331563,: http://www.btmk.co.uk,423137
BTMK SOLICITORS LLP,BRN,61 New London RoadCM2 0ND,01245 496565,,operations@sra.org.uk, 01245 499020,,423138
BULLER JEFFRIES,HO,36 Bennetts HillB2 5SN,0121 212 2620,,info@bullerjeffries.com, 0121 212 2210,: http://www.bullerjeffries.com,44415
BULLER JEFFRIES,BRN,Bank HouseCV1 2EW,024 7622 8734,,cov@bullerjeffries.com, 024 7663 2820,: http://www.bullerjeffries.com,44416
BULLIVANT & PARTNERS,HO,15 Great St. Thomas ApostleEC4V 2BJ,020 7332 8250,,mail@bullivant.uk.net, 020 7332 8260,,174022
BURNETT BARKER SOLICITORS,HO,3 Hatter StreetIP33 1LZ,01284 701131,,law@burnettbarker.co.uk, 01284 760310,: http://www.burnettbarker.co.uk,44467
BURROUGHS,HO,38 King StreetME14 1BS,01622 676982,,tburrough@burroughs-solicitors.co.uk, 01622 675111,: http://www.burroughs-solicitors.co.uk,60665
BURROUGHS DAY,HO,14 Charlotte StreetBS1 5PT,0117 929 0333,,cjb@bd4law.com, 0117 9290335,: http://www.bd4law.com,44501
BURROWS BUSSIN,HO,196 DeansgateM3 3WF,0161 833 1411,,enquiries@burrowsbussin.com, 0161 819 1459,: http://www.burrowsbussin.com,488601
BURTON COPELAND LLP,HO,Astley HouseM3 4AS,0161 827 9500,,harryward@burtoncopeland.com, 0161 834 5941,: http://www.burtoncopeland.com,439391
BUXTON RYAN & CO SOLICITORS,HO,15 Bell StreetCM21 9AR,01279 723434,,info@buxtonryan.co.uk, 01279 726835,: http://www.buxtonryan.co.uk,352752
BYL LAW,HO,377a Palatine RoadM22 4FY,0161 902 2620,,laurence.goldstone@hotmail.co.uk, 0161 945 1098,,522505
BYRNE & PARTNERS,HO,75-77 St. John StreetEC1M 4NN,020 7107 2400,,info@byrneandpartners.com, 020 7107 2401,: http://www.byrneandpartners.com,383580
C L B LAWYERS,HO,CLB HouseDY1 1NS,01384 451731,,info@clblawyers.co.uk, 01384 242532,: http://www.clblawyers.com,350268
C P CHRISTOU,HO,767 High RoadN12 8LQ,020 8446 6777,,costas@cpchristou.com, 020 8446 5774,,68105
C.M. ATIF & CO.,HO,35 Upper Tooting RoadSW17 7TR,0208 767 4913,,operations@sra.org.uk, 0208 682 0317,,440282
CADWALADER WICKERSHAM & TAFT LLP,HO,Dashwood HouseEC2M 1QS,+44 020 7170 8700,,john.kulanayagam@cwt-uk.com, +44 (0) 20 7170 8610,: http://www.cadwalader.com,264812
CALISKAN CARTER SOLICITORS,HO,338 City RoadEC1V 2PY,0207 239 8291,,info@caliskancarter.co.uk, 0207 239 8284,: http://www.caliskancarter.co.uk,485735
CALNAN COX,HO,Catherine HouseNN6 9BX,01604 882 287,,operations@sra.org.uk, 01604 882 247,: http://www.calnancox.co.uk,423232
CALTHORPE SOLICITORS,HO,6 Vicarage RoadB15 3ES,0121 452 4955,,info@calthorpesolicitors.com, 0121 452 4956,,448398
CALVERT SOLICITORS,HO,77 Weston StreetSE1 3RS,020 7234 0707,,mail@calvertsolicitors.co.uk, 020 7234 0909,: http://www.calvertsolicitors.co.uk,76488
CAMPBELL CHAMBERS,HO,25 Hatton GardenEC1N 8BQ,020 7691 8777,,info@campbellchambers.com, 020 7691 8778,: http://www.campbellchambers.com,269798
CANDEY LLP,HO,8 Stone BuildingsWC2A 3TA,020 3370 8888,,operations@sra.org.uk,2033287778,: http://www.candeyllp.com,510688
CANTER LEVIN & BERG,HO,The TempleL2 5RU,0151 239 1000,,postmaster@canter-law.co.uk, 0151 239 1060,: http://www.canter-law.co.uk,44668
CAPSTICKS SOLICITORS LLP,HO,77-83 Upper Richmond RoadSW15 2TT,0208 780 2211,,info@capsticks.co.uk, 0208 780 1141,: http://www.capsticks.com,497585
CAPSTICKS SOLICITORS LLP,BRN,35 Newhall StreetB3 3PU,,,operations@sra.org.uk,,,497587
CARLTON CABRAL SOLICITOR,HO,1 Seale HillRH2 8HZ,01737 222717,,carltoncabral@aol.com, 01737 223 820,,281373
CARNEY SOLICITORS LIMITED,HO,Gitana StreetST1 1DT,01782 272999,,michaelcarney@carneysolicitors.co.uk, 01782 202088 (all other matters),,381043
CARNEY SOLICITORS LIMITED,BRN,1-3 Dog LaneST13 5HQ,01538 381 444,,operations@sra.org.uk, 01538 381 400,,381046
CARPENTERS,HO,Leonard HouseCH41 1FB,0844 249 0844,,operations@sra.org.uk, 0844 249 3939,: http://www.carpenters-law.co.uk,78452
CARRINTON VILLA,HO,18 Spinners YardCA3 8RE,01228 529444,,info@malcomdodds.co.uk, 01228 539465,,498402
CARTER FOX LIMITED,HO,Bradford Chamber Business ParkBD4 8BX,1274665775,,info@carterfox.co.uk, 01274 664 775,: http://www.carterfox.co.uk,466632
CARTER MOORE,HO,13 St. John StreetM3 4DQ,08458 73 73 33,,info@cartermoore.com, 08458 73 73 34,: http://www.cartermoore.com,386619
CARTER MOORE SOLICITORS LIMITED,HO,13 St. John StreetM3 4DQ,08458 737 333,,info@cartermoore.com, 08458 737 334,: http://www.cartermoore.com,498427
CARTWRIGHT KING,HO,Norwich Union HouseNG1 2LH,0115 958 7444,,admin@cartwrightking.co.uk, 0115 9588 666,: http://www.cartwrightking.co.uk,312459
CARTWRIGHT KING,BRN,Permanent HouseLE1 5BJ,0116 253 9222,,admin@cartwrightking.co.uk, 0116 262 8908,: http://www.cartwrightking.co.uk,388094
CARTWRIGHT KING,BRN,Majority HouseDE1 3WD,01332 346111,,admin@cartwrightking.co.uk, 01332 614744,: http://www.cartwrightking.co.uk,442143
CARTWRIGHT KING,BRN,4th FloorS1 2EX,0114 3211000,,admin@cartwrightking.co.uk, 0114 2700500,: http://www.cartwrightking.co.uk,465049
CARTWRIGHT KING,BRN,43 Temple RowB2 5LS,,,operations@sra.org.uk, 0121 237 6100,,518973
CASEY LEGAL,HO,12 EarlswoodPE2 5UG,01733 233301,,frank.casey@caseylegal.co.uk, 01733 771010,,368948
CB LEGAL,HO,Dilke HouseWC1E 7JN,020 7323 9192,,keithcox@cb-legal.com, 020 7323 9394,: http://www.cb-legal.com,67070
CENTRAL LAW LIMITED,HO,West CourtB80 7EL,01902 710822,,crime@roselaw.co.uk,,: http://www.roselaw.co.uk,443980
CENTRAL LAW PRACTICE,HO,Suite 2 17th FloorHA9 6DE,0208 8194242,,info@clpsolicitors.com, 0208 8194222,: http://www.clpsolicitors.com,360706
CENTRAL LAW PRACTICE,BRN,Gordon HouseNW5 1LX,020 7482 8856,,info@clpsolicitors.com, 020 7482 8866,: http://www.clpsolicitors.com,523433
CERTUS SOLICITORS,HO,33 Manor RowBD1 4PS,01274 722 199,,naheem.anwar@certuslegal.co.uk, 01274 722 741,,471577
CHABRA CASS & CO,HO,149 Cricklewood BroadwayNW2 3HY,020 8452 2200,,chabracasss@dsl.pipex.com, 020 8452 6749,,44843
CHADBOURNE & PARKE (LONDON) LLP,HO,Regis HouseEC4R 9AN,020 7337 8000,,operations@sra.org.uk, 020 7337 8001,: http://www.chadbourne.com,264209
CHADWYCK-HEALEY SOLICITORS LIMITED,HO,St Johns ChambersEC1M 4DN,0207 353 6900,,mail@chadwyckhealey.co.uk, 0207 353 6911,: http://www.chadwyckhealey.co.uk,441917
CHALLINORS,HO,Guardian HouseB70 8SW,0121 553 3211,,info@challinors.co.uk, 0121 553 2079,: http://www.challinors.co.uk,210165
CHALLINORS,BRN,Edmund HouseB3 3EF,0121 212 9393,,info@challinors.co.uk, 0121 212 3422,: http://www.challinors.co.uk,210166
CHAMBERS SOLICITORS,HO,37 Grattan RoadBD1 2LU,01274 301450,,mail@chambers-solicitors.co.uk, 01274 301 459,: http://www.chambers-solicitors.co.uk,380757
CHAPMAN DHILLON SOLICITORS,HO,Building 3 City West Office PaLS12 6LX,0113 251 2203,,admin@cdllp.co.uk, 0113 251 2202,,524459
CHARLES RUSSELL LLP,HO,5 Fleet PlaceEC4M 7RD,,,caroline.bryam@charlesrussell.co.uk, 020 723 0200,: http://www.charlesrussell.co.uk,420625
CHARLES RUSSELL LLP,BRN,Bury Fields HouseGU2 4AZ,01483 252525,,operations@sra.org.uk, 01483 252550,: http://www.charlesrussell.co.uk,420629
CHARLES RUSSELL LLP,BRN,Compass HouseGL50 2QJ,01242 221122,,operations@sra.org.uk, 01242 584700,: http://www.charlesrussell.co.uk,420630
CHARLES RUSSELL LLP,BRN,Building 7600OX4 2JZ,0845 3590090,,operations@sra.org.uk, 0845 3590099,: http://www.charlesrussell.co.uk,423615
CHARLES RUSSELL LLP,BRN,Clarendon HouseCB2 8FH,01223 465465,,operations@sra.org.uk, 01223 465400,: http://www.charlesrussell.co.uk,464944
CHARLES RUSSELL LLP,BRN,Kingsbury HouseSW1Y 6QU,020 7203 5000,,operations@sra.org.uk, 020 3023 5600,,471886
CHARLES SIMMONS,HO,2nd and 3rd FloorIG1 4PD,0208 911 8841,,sandhu@charlessimmons.co.uk, 0207 998 1517,,333697
CHARTWELL & SADLERS,HO,111 Asylum RoadSE15 2LB,020 7635 5255,,operations@sra.org.uk, 020 7635 1616,,363127
CHEBSEY LAW LIMITED,HO,51 London EndHP9 2HW,01494 670 440,,operations@sra.org.uk, 01494 670 276,: http://www.chebsey.com,513956
CHEBSEY LAW LIMITED,BRN,10-12 High StreetSL1 7JH,01628 660 077,,burnham@chebsey.com, 01628 660 041,: http://www.chebsey.com,516527
CHEBSEY LAW LIMITED,BRN,165 New RoadWD3 3HB,01923 775 651,,rickmansworth@chebsey.com, 01923 711 699,: http://www.chebsey.com,516528
CHILTERN SOLICITORS (LUTON) LTD,HO,960 Capability GreenLU1 3PE,01582 883 421,,pivinson@hotmail.co.uk, 01582 883 421,,522571
CHINNERY & CO SOLICITORS LIMITED,HO,53 Fountain StreetM2 2AN,0161 233 7010,,info@chinneryandcosolicitors.co.uk, 0161 233 7011,: http://www.chinneryandcosolicitors.co.uk,518162
CHIVERS WALSH SMITH (INCORPORATING STUART CARTER & CO),HO,Refuge BuildingsBD1 2AZ,01274 740077,,operations@sra.org.uk, 01274 740442,: http://www.cwslaw.co.uk,207557
CHIVERS WALSH SMITH (INCORPORATING STUART CARTER & CO),BRN,29 WestgateBD17 5EH,01274 583106,,operations@sra.org.uk, 01274 596881,: http://www.cwslaw.co.uk,207559
CHOPRA AND GILL SOLICITORS,HO,337 Dudley RoadWV2 3JY,01902 621 277,,chopraandgillsolicitors@btconnect.com, 01902 621 276,,490841
CHRISTIAN KHAN SOLICITORS,HO,5 Gower StreetWC1E 6HA,020 7631 9500,,info@christiankhan.co.uk, 020 7636 6852,: http://www.christiankhan.co.uk,60705
CITY LAW FINANCIAL LLP,HO,1 Kings Arms YardEC2R 7AF,0207 367 0100,,info@city-law.net, 0207 022 1592,: http://www.city-law.net,509651
CITY LAW SOLICITORS,HO,1 Olympic WayHA9 0NP,0207 663 8030,,citylawsolicitors@hotmail.co.uk, 0207 663 8035,: http://www.citylawsolicitors.com,421263
CITY TOWER SECRETARIAL SERVICES LIMITED,HO,40 Basinghall StreetEC2V 5DE,0207 588 9080,,timothyeppel@mcfaddenslaw.co.uk, 0207 7628 7708,,445453
CKFT,HO,25-26 Hampstead High StreetNW3 1QA,020 7431 7262,,jrook@ckft.com, 020 7431 7261,: http://www.ckft.com,74851
CLARION SOLICITORS LLP,HO,Britannia ChambersLS1 3AX,0113 246 0622,,enquiries@clarionsolicitors.com, 0113 246 7488,: http://www.clarionsolicitors.com,484781
CLARKE KIERNAN,HO,2-4 Lamberts YardTN9 1ER,01732 360999,,info@clarkekiernan.com, 01732 773 355,,262841
CLARKE KIERNAN,BRN,2-4 Bradford StreetTN9 1DU,01732 360999,,dac@clarkekiernan.com, 01732 773355,,262844
CLARKE WILLMOTT LLP,BRN,1 Georges SquareBS1 6BA,0845 209 1000,,operations@sra.org.uk,8452092002,: http://www.clarkewillmott.com,512912
CLARKS NOMINEES LIMITED,HO,One Forbury SquareRG1 3EB,0118 958 5321,,operations@sra.org.uk, 0118 960 4611,,386365
CLARKS TRUSTEES LIMITED,HO,One Forbury SquareRG1 3EB,0118 958 5321,,operations@sra.org.uk, 0118 960 4611,,386352
CLARKSLEGAL LLP,HO,One Forbury SquareRG1 3EB,0118 958 5321,,contactus@clarkslegal.com, 0118 939 5733,: http://www.clarkslegal.com,403601
CLARKSLEGAL LLP,BRN,12-13 Henrietta StreetWC2E 8LH,0207 539 8000,,operations@sra.org.uk, 0207 539 8001,: http://www.clarkslegal.com,403604
CLARKSON HIRST,HO,73 Church StreetLA1 1ET,01524 39760,,mw@clarksonhirst.com, 01524 67242,: http://www.clarksonhirst.com,70027
CLARKSON HIRST,BRN,35a StricklandgateLA9 4LT,01539 736916,,operations@sra.org.uk, 01524 67242,: http://www.clarksonhirst.com,420142
CLARKSON HIRST,BRN,105 Duke StreetLA14 1RH,01229 820600,,operations@sra.org.uk,,,460691
CLAUDE HORNBY & COX,HO,Third FloorEC4V 2BJ,0207 332 8269,,claudehornbycox@btconnect.com, 0207 332 8271,,49945
CLAUDE HORNBY & COX,HO,15 Great St. Thomas ApostleEC4V 2BJ,0207 332 8269,,claudehornbycox@btconnect.com, 0207 332 8271,,522810
CLIFFORD CHANCE LLP,HO,10 Upper Bank StreetE14 5JJ,020 7006 1000,,operations@sra.org.uk, 020 7006 5555,: http://www.cliffordchance.com,447778
CLIFFORD JOHNSTON & CO,HO,434 Burnage LaneM19 1LH,0161 975 1900,,p.walsh@cj-law.co.uk, 0161 443 2948,: http://www.cj-law.co.uk,45152
CLIFFORD JOHNSTON & CO,BRN,326 Platt LaneM14 7DA,0161 249 2700,,p.harris@cj-law.co.uk, 0161 249 2705,: http://www.cj-law.co.uk,309885
CLIFTON INGRAM LLP,HO,22-24 Broad StreetRG40 1BA,0118 978 0099,,info@cliftoningram.co.uk, 0118 977 1122,: http://www.cliftoningram.co.uk,440465
CLYDE & CO LLP,HO,51 EastcheapEC3M 1JP,020 7623 1244,,Graham.Holliday@clydeco.com, 020 7623 5427,: http://www.clydeco.com,460690
CLYDE & CO LLP,BRN,Corn ExchangeEC3R 7NE,020 7623 1244,,operations@sra.org.uk, 020 7623 5427,: http://www.clydeco.com,462912
CLYDE & CO LLP,BRN,1 Stoke RoadGU1 4HW,01483 555555,,operations@sra.org.uk, 01483 567330,: http://www.clydeco.com,462913
CMG LAW,HO,94 Chorley New RoadBL1 4DH,01204 467400,,info@cmglaw.co.uk, 01204 845754,,520107
CMS CAMERON MCKENNA LLP,HO,Mitre HouseEC1A 4DD,+44 (0)20 7367 3000,,operations@sra.org.uk, +44 (0) 20 7367 2000,: http://www.cms-cmck.com,423370
COBAINS SOLICITORS LIMITED,HO,201-203 Church StreetFY1 3PA,01253 290092,,lec@cobains.co.uk, 01253 290 459,: http://www.cobainssolicitors.co.uk,497689
COBBETTS LLP,BRN,1 Whitehall RiversideLS1 4BN,0845 4042404,,operations@sra.org.uk, 0845 4042424,: http://www.cobbetts.com,425779
COBLEYS LLP,HO,19-23 Sir Thomas StreetL1 6BW,0151 242 9000,,info@easylaw.co.law, 0151 236 2911,: http://www.easylaw.co.uk,420599
COHEN CRAMER INCORPORATING HUDSON & ASSOCIATES,HO,St George HouseLS1 3DL,0113 244 0597,,info@cohencramer.co.uk, 0113 298 7363,: http://www.cohencramer.co.uk,499994
COHEN CRAMER INCORPORATING HUDSON & ASSOCIATES,BRN,65-67 Main StreetLA6 2AH,,,operations@sra.org.uk,,,521188
CONCEPT LAW SOLICITORS,HO,35 Carr RoadBB9 7JS,01282 700200,,enquiries@conceptlaw.co.uk, 01282 704000,: http://www.conceptlaw.co.uk,462279
CONSILIUM LEGAL,HO,Colman HouseB3 1RS,0845 241 5656,,sat@consiliumlegal.com, 0845 241 5657,: http://www.consiliumlegal.com,363174
CONSILIUM LEGAL,BRN,121 Livery StreetB3 1RS,0845 241 5656,,sat@consiliumlegal.co, 0845 241 5658,: http://www.consiliumlegal.com,403982
COOKE  YOUNG & KEIDAN LLP,HO,Candlewick HouseEC4N 6AS,020 7148 7800,,linda.goodwin@cyklaw.com, 020 7283 1499,: http://www.cyklaw.com,498407
CORBETTS SOLICITORS,HO,1 Millers HouseSG12 8HN,01920 872929,,info@corbettssolicitors.com, 01920 870810,: http://www.corbettssolicitors.com,398297
CORKER BINNING SOLICITORS,HO,12 Devereux CourtWC2R 3JJ,020 7353 6000,,law@corkerbinning.com, 020 7353 6008,: http://www.corkerbinning.com,330978
CORPER SOLICITORS,HO,107-111 Fleet StreetEC4A 2AB,0207 936 9014,,operations@sra.org.uk, 0207 936 9100,,513115
COWARD AND SAHDEV SOLICITORS,HO,16-19 Southampton PlaceWC1A 2AJ,020 7745 7220,,sureetasahdev@hotmail.com, 020 7745 7222,,487067
COWARD AND SAHDEV SOLICITORS,BRN,4 Stuart RoadCR7 8RA,07985 113 218,,operations@sra.org.uk,,,490297
COZEN O'CONNOR LLP,HO,9th FloorEC3M 5DJ,020 7864 2000,,operations@sra.org.uk, 020 7864 2013,: http://www.cozen.com,426734
CRANELAW NOMINEES,HO,4 More London RiversideSE1 2AU,020 7379 0000,,info@lg-legal.com, 020 7379 6854,: http://www.lg-legal.com,79759
CREED LANE LAW GROUP,HO,8 Creed LaneEC4V 5BR,0207 248 6817,,creed.lane@virgin.net, 020 7248 6822,,390123
CRIMINAL DEFENCE MILTON KEYNES SOLICITORS,HO,62 QueenswayMK2 2SA,01908 379225,,h.mather@cdmk.co.uk, 01908 377851,: http://www.cdmk.co.uk,490069
CRIMINAL DEFENCE SOLICITORS,HO,227-228 StrandWC2R 1BE,0207 353 7000,,ejg@criminaldefence.co.uk, 0207 353 7111,,321218
CRIMINAL LAW SOLICITORS,HO,9 Shopping PrecinctWF7 5BX,01977 707 999,,info@clssolicitors.co.uk, 01977 706 999,: http://www.clssolicitors.co.uk,523107
CRIPPS HARRIES HALL LLP,HO,Wallside HouseTN1 1EG,01892 515 121,,reception@crippslaw.com, 01892 544878,: http://www.crippslaw.com,420623
CRIPPS HARRIES HALL LLP,BRN,53 Chandos PlaceWC2N 4HS,0207 930 7879,,reception@crippslaw.com,,: http://www.crippslaw.com,420628
CROWELL & MORING,HO,11 Pilgrim StreetEC4V 6RN,+44 (0) 20 7413 0011,,pkiernan@crowell.com, +44 (0) 20 7413 0333,: http://www.crowell.com,73848
CUBISM LIMITED,HO,116-118 Chancery LaneWC2A 1PP,020 7831 0101,,contact@cubismlaw.com, 020 7831 0001,: http://www.cubismlaw.com,426622
CUMBERLAND ELLIS LLP,HO,Atrium CourtWC1R 4QR,020 7242 0422,,contact@cumberlandellis.com, 020 7831 9081,: http://www.cumberlandellis.com,423951
CUNNINGHAMS SOLICITORS LLP,HO,4th Floor South CentralM2 5QR,0161 833 1600,,operations@sra.org.uk, 0161 833 1060,,469190
CURTIS TURNER & DRUKKER LIMITED,HO,Mitre HouseEC4Y 1BN,0207 353 1770,,admin@ctdlaw.co.uk, 0207 353 1771,: http://www.ctdlaw.co.uk,419777
CYRIL MORRIS ARKWRIGHT,HO,Churchgate HouseBL1 1HS,01204 535261,,info@cma-law.co.uk, 01204 363354,: http://www.cma-law.co.uk,52503
D K LAW LIMITED,HO,4 Upper Tachbrook StreetSW1V 1SH,0207 233 9939,,NS@dklaw.co.uk, 0870 1224139,,488452
DANIEL BERMAN & CO,HO,39-51 Highgate RoadNW5 1RS,020 7428 7798,,djb@danielberman.co.uk, 020 7428 7799,: http://www.danielberman.co.uk,287218
DARBYS SOLICITORS LLP,HO,52 New Inn Hall StreetOX1 2DN,01865 811700,,info@darbys.co.uk, 01865 811777,: http://www.darbys.co.uk,448914
DARE EMMANUEL,HO,Suite 3.26E1 1DU,020 7392 9566,,operations@sra.org.uk, 020 7392 9577,,350182
DARLINGTONS,HO,48 High StreetHA8 7EQ,020 8951 6666,,enquiries@darlingtons.com, 020 8951 6665,: http://www.darlingtons.com,67874
DARWIN MCGROGAN,HO,Second FloorYO1 9SB,01904 613077,,contact@darwinmcgrogan.co.uk, 01904 613066,,437548
DASS SOLICITORS,HO,The Old Doctors SurgeryB3 3QE,0121 248 4000,,law@dass-solicitors.com, 0121 248 4020,,263609
DASS SOLICITORS,BRN,Millbank TowerSW1P 4QP,0207 802 5040,,law@dass-solicitors.com, 0207 802 5044,,363751
DAVENPORT LYONS,HO,30 Old Burlington StreetW1S 3NL,020 7468 2600,,dl@davenportlyons.com, 0207 437 8216,: http://www.davenportlyons.com,49564
DAVID BILLINGHAM & PARTNERS,HO,Mill HouseGL52 8LR,01242 676224,,dgb@billinghamandpartners.co.uk, 01242 677131,,47095
DAVID GRAY SOLICITORS,HO,Old County CourtNE1 5XU,0191 232 9547,,lawyers@davidgray.co.uk, 0191 230 4149,: http://www.davidgray.co.uk,50096
