Name,Office,Address,Telephone,Email,Fax,WebSite,Id
BUCKLES SOLICITORS LLP,BRN,3 St. Marys HillPE9 2DW,01780 484570,stamford@buckles-law.co.uk, 01780 484571, http//www.buckles-law.co.uk,419966
BUDE NATHAN IWANIER,HO,1 Temple Fortune ParadeNW11 0QN,020 8458 5656,operations@sra.org.uk, 020 8458 5065,,70758
BURGES SALMON LLP,HO,Narrow Quay HouseBS1 4AH,0117 939 2000,email@burges-salmon.com, 0117 902 4400, http//www.burges-salmon.com,401114
BURNETT,HO,80 Broom ParkTW11 9RR,0208 977 2442,rb@burnett.uk.net, 07005 801685,,383573
BURROUGHS DAY,HO,14 Charlotte StreetBS1 5PT,0117 929 0333,cjb@bd4law.com, 0117 9290335, http//www.bd4law.com,44501
BURROUGHS DAY,BRN,Combe HouseBS20 6BJ,01275 843213,cjb@bd4law.com, 01275 849232, http//www.bd4law.com,44504
BURSTALLS,HO,PO Box 31HU1 1JF,01482 621800,info@burstalls.co.uk, 01482 621819, http//www.burstalls.co.uk,44516
BUSINESS LAWYERS LIMITED,HO,Kingswick HouseSL5 7BH,01344 292302,contactus@business-lawyers.org, 01344 626176, http//www.business-lawyers.org,425867
BUSINESS LAWYERS LTD,BRN,DTE HouseBL9 8AT,,operations@sra.org.uk,, http//www.disputesolicitors.co.uk,509678
BUSS MURTON LAW LLP,HO,Wellington GateTN1 1HT,01892 510 222,info@bussmurton.co.uk, 01892 510 333, http//www.bussmurton.co.uk,513079
BUSS MURTON LAW LLP,BRN,31 High StreetTN17 3EE,01580 712215,operations@sra.org.uk, 01580 714 496,,513320
BUSS MURTON LAW LLP,BRN,Crown HouseDA1 1DZ,01322 220235,operations@sra.org.uk, 01322 293 841,,513321
C J JONES SOLICITORS,HO,9 Mallow StreetEC1Y 8RQ,0207 253 7419,chris.jones@cjjonessolicitors.co.uk, 0207 490 7908, http//www.cjjonessolicitors.co.uk,421247
CALVERT SOLICITORS,HO,77 Weston StreetSE1 3RS,020 7234 0707,mail@calvertsolicitors.co.uk, 020 7234 0909, http//www.calvertsolicitors.co.uk,76488
CAMERONS SOLICITORS LLP,HO,70 Wimpole StreetW1G 8AX,020 7866 6010,enquiries@camerons.co.uk, 020 7486 8171, http//www.camerons.co.uk,425013
CANDEY LLP,HO,8 Stone BuildingsWC2A 3TA,020 3370 8888,operations@sra.org.uk,2033287778, http//www.candeyllp.com,510688
CANNINGS CONNOLLY,HO,Hillgate HouseEC4M 7HQ,020 7329 9000,email@cclaw.co.uk, 020 7329 5000, http//www.cclaw.co.uk,75138
CAPSTICK DALE & PARTNERS,HO,224 Main RoadRM2 5HA,01708 722466,mail@capstick-dale.com, 01708 725174,,44693
CAPSTICKS SOLICITORS LLP,HO,77-83 Upper Richmond RoadSW15 2TT,0208 780 2211,info@capsticks.co.uk, 0208 780 1141, http//www.capsticks.com,497585
CAPSTICKS SOLICITORS LLP,BRN,35 Newhall StreetB3 3PU,,operations@sra.org.uk,,,497587
CAROLINE MILLER & CO,HO,Unit 4RH5 5LS,01306 627 160,carolinemillerandco@btinternet.com, 07005 981 639, http//www.carolinemillerandco.co.uk,389297
CARR AND KAYE SOLICITORS,HO,No. 3NW3 6AJ,0333 900 0770,david.carr@carrandkaye.com, 0207 681 241, http//www.carrandkaye.com,524412
CARR AND KAYE SOLICITORS,BRN,30a The AvenueAL6 0PP,0845 241 5136,philip.raye@carrandkaye.com, 0208 711 5742, http//www.carrandkaye.com,533334
CASEY LEGAL,HO,12 EarlswoodPE2 5UG,01733 233301,frank.casey@caseylegal.co.uk, 01733 771010,,368948
CBY SOLICITORS,HO,Paddock CottageEX5 2ES,01404 822452,bryancurel@cbysolicitors.com, 01404 822024, http//www.cbysolicitors.com,389260
CFK LEGAL LIMITED,HO,32 Hope StreetL1 9BX,0151 708 6222,operations@sra.org.uk, 0151 708 1900, http//www.cfklegal.com,483535
CFK LEGAL LIMITED,BRN,32 Hope StreetL1 9BX,0151 708 6222,operations@sra.org.uk, 0151 708 1900,,483536
CGA TRUSTEE AND EXECUTOR COMPANY LIMITED,HO,25 BancroftSG5 1JW,01462 454438,operations@sra.org.uk, 01462 459242,,199758
CH REGISTRARS LTD,HO,6 New Street SquareEC4A 3BF,0207 427 6400,operations@sra.org.uk, 0207 427 6600,,80634
CHADWICK LAWRENCE LLP,HO,13 Railway StreetHD1 1JS,01484 519999,enquiry@chadlaw.co.uk, 01484 544099, http//www.chadwicklawrence.co.uk,424887
CHADWICK LAWRENCE LLP,BRN,23a Bull Close LaneHX1 2EF,01422 330601,operations@sra.org.uk,,,424889
CHADWICK LAWRENCE LLP,BRN,29/31 Commercial StreetLS27 8HX,0113 252 3452,operations@sra.org.uk,,,424890
CHADWICK LAWRENCE LLP,BRN,2A Red Hall CrescentWF1 2DF,01924 379 078,operations@sra.org.uk,,,486607
CHADWICK LAWRENCE LLP,BRN,First FloorLS28 7RG,,operations@sra.org.uk,,,487768
CHAPLIN & CO,HO,The FirsHA7 4JL,020 8954 8202,chaplinco@aol.com, 020 8954 7477,,77325
CHARLES COOK & COMPANY LIMITED,HO,Broad Quay HouseBS1 4DJ,01275 399929,charlescook@cookco.co.uk, 05601 528471,,485529
CHARLES LUCAS & MARSHALL,HO,Radnor HouseRG14 5EU,01635 521212,operations@sra.org.uk, 01635 37784, http//www.clmlaw.co.uk,53438
CHARLES RUSSELL LLP,HO,5 Fleet PlaceEC4M 7RD,,caroline.bryam@charlesrussell.co.uk, 020 723 0200, http//www.charlesrussell.co.uk,420625
CHARLES RUSSELL LLP,BRN,Bury Fields HouseGU2 4AZ,01483 252525,operations@sra.org.uk, 01483 252550, http//www.charlesrussell.co.uk,420629
CHARLES RUSSELL LLP,BRN,Compass HouseGL50 2QJ,01242 221122,operations@sra.org.uk, 01242 584700, http//www.charlesrussell.co.uk,420630
CHARLES RUSSELL LLP,BRN,Building 7600OX4 2JZ,0845 3590090,operations@sra.org.uk, 0845 3590099, http//www.charlesrussell.co.uk,423615
CHARLES RUSSELL LLP,BRN,Clarendon HouseCB2 8FH,01223 465465,operations@sra.org.uk, 01223 465400, http//www.charlesrussell.co.uk,464944
CHARLES RUSSELL LLP,BRN,Kingsbury HouseSW1Y 6QU,020 7203 5000,operations@sra.org.uk, 020 3023 5600,,471886
CHATHAM CHAMBERS,HO,136 Chatham StreetRG1 7HT,0118 958 5855,contact@chathamchambers.co.uk, 0118 958 0944, http//www.chathamchambers.co.uk,490843
CHATTERTONS,BRN,Chatterton HouseLN6 3JY,01522 814600,lincoln@chattertons.com, 01522 814601, http//www.chattertons.com,387478
CHEBSEY LAW LIMITED,HO,51 London EndHP9 2HW,01494 670 440,operations@sra.org.uk, 01494 670 276, http//www.chebsey.com,513956
CHEBSEY LAW LIMITED,BRN,10-12 High StreetSL1 7JH,01628 660 077,burnham@chebsey.com, 01628 660 041, http//www.chebsey.com,516527
CHEBSEY LAW LIMITED,BRN,165 New RoadWD3 3HB,01923 775 651,rickmansworth@chebsey.com, 01923 711 699, http//www.chebsey.com,516528
CHRISTOPHER GIGG LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.co.uk,518216
CHRISTOPHER J L RYAN,HO,Maggots End FarmCM23 1BJ,01279 815970,chris@ryanlaw.co.uk, 01279 815970, http//www.ryanlaw.co.uk,442621
CHRISTOPHER MURRATT LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200,chris.murratt@actons.co.uk,, http//www.actons.co.uk,419904
CIPIT SOLICITORS,HO,127 Hampstead HouseNW3 6BT,020 8457 7457,info@cipit-solicitors.com,, http//www.cipit-solicitors.com,74065
CLAIRE BELL LIMITED,HO,c/o ActonsNG1 5BQ,0115 9100 200,claire.bell@actons.co.uk,, http//www.actons.co.uk,400374
CLARION SOLICITORS LLP,HO,Britannia ChambersLS1 3AX,0113 246 0622,enquiries@clarionsolicitors.com, 0113 246 7488, http//www.clarionsolicitors.com,484781
CLARK HOLT,HO,Hardwick HouseSN1 3LJ,01793 617444,richardc@clarkholt.com, 01793 617436, http//www.clarkholt.com,190833
CLARKE WILLMOTT LLP,BRN,1 Georges SquareBS1 6BA,0845 209 1000,operations@sra.org.uk,8452092002, http//www.clarkewillmott.com,512912
CLARKE WILLMOTT LLP,BRN,Burlington HouseSO30 2AF,0845 209 1000,operations@sra.org.uk,8452092003,,512913
CLARKS NOMINEES LIMITED,HO,One Forbury SquareRG1 3EB,0118 958 5321,operations@sra.org.uk, 0118 960 4611,,386365
CLARKSLEGAL LLP,HO,One Forbury SquareRG1 3EB,0118 958 5321,contactus@clarkslegal.com, 0118 939 5733, http//www.clarkslegal.com,403601
CLARKSLEGAL LLP,BRN,12-13 Henrietta StreetWC2E 8LH,0207 539 8000,operations@sra.org.uk, 0207 539 8001, http//www.clarkslegal.com,403604
CLARKSON WRIGHT & JAKES LLP,HO,Valiant HouseBR6 0PG,01689 887887,cwj@cwj.co.uk, 01689 887888, http//www.cwj.co.uk,486938
CLAYDENLAW LIMITED,HO,Prama HouseOX2 7HT,01865 339640,operations@sra.org.uk, 01865 339301, http//www.claydenlaw.co.uk,522090
CLEARY GOTTLIEB STEEN & HAMILTON LLP,HO,City Place HouseEC2V 5EH,020 7614 2200,operations@sra.org.uk, 020 7600 1698, http//www.clearygottlieb.com,408222
CLEGGS SOLICITORS,HO,Apex CourtNG11 7DD,0115 9775877,mail@cleggssolicitors.com, 0115 9775888, http//www.cleggssolicitors.com,45127
CLIFFORD CHANCE LLP,HO,10 Upper Bank StreetE14 5JJ,020 7006 1000,operations@sra.org.uk, 020 7006 5555, http//www.cliffordchance.com,447778
CLIFFORD CHANCE LLP,BRN,4 Coleman StreetEC2R 5JJ,020 7006 1000,operations@sra.org.uk, 020 7006 5555,,449734
CLIFFORD MILLER,HO,Burnhill Business CentreBR3 3LA,020 8 663 0044,operations@sra.org.uk, 020 8 6630011, http//www.cliffordmiller.com,76221
CLIFTON INGRAM LLP,HO,22-24 Broad StreetRG40 1BA,0118 978 0099,info@cliftoningram.co.uk, 0118 977 1122, http//www.cliftoningram.co.uk,440465
CLIFTON INGRAM LLP,BRN,County HouseRG1 1DB,0118 957 3425,info@cliftoningram.co.uk, 0118 959 7302, http//www.cliftoningram.co.uk,517015
CLINTONS,HO,55 Drury LaneWC2B 5RZ,020 7379 6080,jseigal@clintons.co.uk, 020 7240 9310, http//www.clintons.co.uk,45165
CLUTTERBUCK NOMINEES LIMITED,HO,c/o Shakespeare PutsmanB2 5DJ,0121 237 3000,info@sp-legal.co.uk, 0121 237 3011,,176221
CLYDE & CO INDIA LIMITED,HO,51 EastcheapEC3M 1JP,0207 623 1244,operations@sra.org.uk, 0207 623 5427, http//www.clydeco.com,513598
CLYDE & CO LLP,BRN,1 Stoke RoadGU1 4HW,01483 555555,operations@sra.org.uk, 01483 567330, http//www.clydeco.com,462913
CMS CAMERON MCKENNA LLP,HO,Mitre HouseEC1A 4DD,+44 (0)20 7367 3000,operations@sra.org.uk, +44 (0) 20 7367 2000, http//www.cms-cmck.com,423370
CO-OPERATIVE GROUP LEGAL SERVICES,HO,New Century HouseM60 4ES,0161 827 5296,Philip.Hardman@co-op.co.uk, 0161 834 3147, http//www.co-op.co.uk,78446
COBBETTS LEE CROWDER NOMINEES LIMITED,HO,58 Mosley StreetM2 3HZ,8454042404,enquiries@cobbetts.com,, http//enquiries@cobbetts.com,211008
COBBETTS LEE CROWDER NOMINEES LIMITED,BRN,1 Whitehall RiversideLS1 4BN,0845 4042404,operations@sra.org.uk, 0845 4042424,,490827
COBBETTS LEE CROWDER NOMINEES LIMITED,BRN,70 Gray's Inn RoadWC1X 8BT,0845 404 2404,operations@sra.org.uk, 0161 833 3030,,490829
COBBETTS LLP,HO,58 Mosley StreetM2 3HZ,0845 404 2404,lawyers@cobbetts.co.uk, 0845 404 2414, http//www.cobbetts.com,425778
COBBETTS LLP,BRN,1 Whitehall RiversideLS1 4BN,0845 4042404,operations@sra.org.uk, 0845 4042424, http//www.cobbetts.com,425779
COBBETTS LLP,BRN,One Colmore SquareB4 6AJ,0845 4042404,enquiries@cobbetts.co.uk, 0845 4042434, http//www.cobbetts.com,425780
COBBETTS LLP,BRN,70 Gray's Inn RoadWC1X 8BT,0845 404 2404,enquiries@crobetts.com, +44 161 833 3030, http//cobbetts.com,467565
COFFEY GRAHAM LLP,HO,1-6 Yarmouth PlaceW1J 7BU,020 3145 1170,info@coffeygraham.com,, http//www.coffeygraham.com,492871
COFFIN MEW LLP,HO,Fareham PointPO16 7AU,01329 825617,info@coffinmew.co.uk, 01329 825619, http//www.coffinmew.co.uk,463138
COFFIN MEW LLP,BRN,Kings Park HouseSO15 2UF,023 8033 4661,info@coffinmew.co.uk, 023 8033 0956, http//www.coffinmew.co.uk,463140
COFFIN MEW LLP,BRN,Bay HousePO6 4RS,023 9238 8021,info@coffinmew.co.uk, 023 9221 0952, http//www.coffinmew.co.uk,463145
COFFIN MEW LLP,BRN,60 Stoke RoadPO12 1PA,023 9252 3111,info@coffinmew.co.uk, 023 9251 0460, http//www.coffinmew.co.uk,463147
COLDHAM SHIELD & MACE,HO,123-127 Station RoadE4 6AG,020 8524 6323,info@csmlaw.co.uk, 020 8529 8390, http//www.csmlaw.co.uk,71224
COLEY & TILLEY,HO,Neville HouseB2 5UF,0121 643 5531,pjc@coleyandtilley.co.uk, 0121 643 5711, http//www.coleyandtilley.co.uk,45324
COLLINS BENSON GOLDHILL LLP,HO,26-28 Great Portland StreetW1W 8QT,020 7436 5151,cbg@cbglaw.co.uk, 020 7436 6122, http//www.cbglaw.co.uk,447266
COLLYER BRISTOW LLP,HO,4 Bedford RowWC1R 4DF,020 7242 7363,cblaw@collyerbristow.com, 020 7405 0555, http//www.collyerbristow.com,441900
COMPLETE - THE LEGAL SHOP,BRN,5-6 Northumberland BuildingsBA1 2JE,,operations@sra.org.uk,,,460319
COMPLETE - THE LEGAL SHOP,BRN,1 Northumberland BuildingsBA1 2JB,01225 425731,enquiries@completehome.co.uk, 01225 352 901, http//www.completehome.co.uk,463196
CONYBEARE SOLICITORS,HO,Clearwater HouseW1U 3AE,0870 7530925,steven@conybeare.com, 0870 7627925, http//www.conybeare.com,419860
COPLEY CLARK & BENNETT,HO,36 Grove RoadSM1 1BS,020 8643 7221,information@copleyclark.co.uk, 020 8643 5265, http//www.copleyclark.co.uk,45489
COPLEY CLARK & BENNETT,BRN,Pathtrace HouseSM7 2NL,01737 362131,information@copleyclark.co.uk, 01737 363101, http//www.copleyclark.co.uk,45490
CORPORATE LEGAL,HO,Wight StonesPO33 1PQ,0845 458 9448,info@corporatelegal.co.uk, 0845 458 9448, http//www.corporatelegal.co.uk,421989
COUCHMANS LLP,HO,20-22 Bedford RowWC1R 4EB,020 7611 9660,enquiries@couchmanharrington.com, 020 7611 9661, http//www.couchmanharrington.com,518888
COUSINS BUSINESS LAW,HO,PO Box 11543B13 0ZL,0121 778 3212,gary.cousins@business-lawfirm.co.uk, 0121 275 6155, http//www.business-lawfirm.co.uk,485128
COVINGTON & BURLING LLP,HO,265 StrandWC2R 1BH,020 7067 2000,operations@sra.org.uk, 020 7067 2222, http//www.cov.com,77071
CRANELAW NOMINEES,HO,4 More London RiversideSE1 2AU,020 7379 0000,info@lg-legal.com, 020 7379 6854, http//www.lg-legal.com,79759
CRESSWELL & CO,HO,Lloyds Bank ChambersW4 1NP,0208 742 0070,acresswell@cresswell-law.co.uk, 0208 742 0080,,77873
CRIPPS HARRIES HALL LLP,HO,Wallside HouseTN1 1EG,01892 515 121,reception@crippslaw.com, 01892 544878, http//www.crippslaw.com,420623
CRIPPS HARRIES HALL LLP,BRN,53 Chandos PlaceWC2N 4HS,0207 930 7879,reception@crippslaw.com,, http//www.crippslaw.com,420628
CRIPPS SECRETARIES LIMITED,HO,Wallside HouseTN1 1EG,01892 515121,reception@crippslaw.com, 01892 506360, http//www.crippslaw.com,79544
CRIPPS TRUST CORPORATION LIMITED,HO,Wallside HouseTN1 1EG,01892 515121,operations@sra.org.uk, 01892 506360,,283720
CROWELL & MORING,HO,11 Pilgrim StreetEC4V 6RN,+44 (0) 20 7413 0011,pkiernan@crowell.com, +44 (0) 20 7413 0333, http//www.crowell.com,73848
CRUTES LLP,HO,Great North HouseNE1 8ND,0191 233 9700,operations@sra.org.uk, 0191 233 9701, http//www.crutes.co.uk,437681
CRUTES LLP,BRN,Crutes HouseTS17 6EN,01642 623400,operations@sra.org.uk, 01642 623401, http//www.crutes.co.uk,437683
CRUTES LLP,BRN,13 Castle StreetCA3 8SY,01228 525195,operations@sra.org.uk, 01228 525620, http//www.crutes.co.uk,437684
CUMBERLAND ELLIS LLP,HO,Atrium CourtWC1R 4QR,020 7242 0422,contact@cumberlandellis.com, 020 7831 9081, http//www.cumberlandellis.com,423951
CURRY POPECK,HO,87 Wimpole StreetW1G 9RL,020 7224 6633,cpinfo@currypopeck.com, 020 7935 4042, http//www.currypopeck.com,71176
CURTIS DAVIS GARRARD LLP,HO,Waterview HouseUB11 1AU,020 8734 2800,cdg@cdg.co.uk, 020 8734 2820, http//www.cdg.co.uk,439491
CURTIS MALLET-PREVOST COLT & MOSLE LLP,HO,53 New Broad StreetEC2M 1BB,020 7011 9500,operations@sra.org.uk, 020 7011 9501, http//www.curtis.com,367685
CURZON HOUSE TRUSTEES LIMITED,BRN,Bull WharfBS1 6QR,1173218000,operations@sra.org.uk,1173218000, http//www.ashfords.co.uk,407940
DALE AND CO SOLICITORS LIMITED,HO,11 Beaumont FeeLN1 1UH,01522 513 399,rdale@dale-law.co.uk, 01522 530 589, http//www.dale-law.co.uk,496575
DARBYS SOLICITORS LLP,HO,52 New Inn Hall StreetOX1 2DN,01865 811700,info@darbys.co.uk, 01865 811777, http//www.darbys.co.uk,448914
DAVENPORT LYONS,HO,30 Old Burlington StreetW1S 3NL,020 7468 2600,dl@davenportlyons.com, 0207 437 8216, http//www.davenportlyons.com,49564
DAVID DOWNTON & COMPANY,HO,Harefield ChambersMK19 7BB,01908 563030,law@daviddowntonlaw.com, 01908 565252, http//www.daviddowntonlaw.com,221289
DAVID GILLIES SOLICITOR,HO,Rohan HouseTN17 3LZ,01580 715523,dgillies@btinternet.com, 01580 715524,,341779
DAVID ISAACS,HO,1 Berkshire RoadRG9 1ND,01491 577130,davidi@davislaw.fsnet.co.uk, 01491 413873,,74123
DAVIDSON LARGE LLP,HO,Royal HouseHG1 1EP,01423 727272,rdavidson@davidsonlarge.com, 01423 727200, http//www.davidsonlarge.com,422432
DAVIES ARNOLD COOPER LLP,HO,6-8 Bouverie StreetEC4Y 8DD,0207 936 2222,DACLON@DAC.CO.UK, 0207 936 2020, http//www.dac.co.uk,488319
DAVIS & CO,HO,Misbourne HouseHP7 0DD,01494 787587,info@davislaw.co.uk, 01494 787588, http//www.davislaw.co.uk,372041
DAVIS & CO (SOLICITORS) LIMITED,HO,27 Old Gloucester StreetWC1N 3XX,0208 123 6373,mail@davis-solicitors.co.uk,, http//www.davis-solicitors.co.uk,211065
DAVIS BLANK FURNISS,HO,Church HouseM3 2QJ,0161 832 3304,manchester@dbf-law.co.uk, 0161 834 3568, http//www.dbf-law.co.uk,71557
DAVIS BLANK FURNISS,BRN,10 Ellison StreetSK13 8BZ,01457 860606,glossop@dbf-law.co.uk, 01457 869468, http//www.dbf-law.co.uk,71559
DAWSONS LLP,HO,2 New SquareWC2A 3RZ,020 7421 4800,info@dawsonsllp.com, 020 7421 4848, http//www.dawsonsllp.com,463454
DEBORAH HUTCHINSON LIMITED,HO,Pearl Assurance HouseNG1 6BX,0115 947 6651,mailbox@abg-law.com, 0115 947 5244, http//www.abg-law.com,518215
DECHERT LLP,HO,Times SquareEC4V 4QQ,020 7184 7000,operations@sra.org.uk, 020 7184 7001, http//www.dechert.com,389648
DENISON TILL,HO,Stamford HouseYO1 9PP,01904 611411,mail@denisontill.com, 01904 646972, http//www.denisontill.com,63638
DENTON WILDE SAPTE LLP,HO,One Fleet PlaceEC4M 7WS,020 7246 7000,operations@sra.org.uk, 020 7246 7777, http//www.dentonwildesapte.com,447523
DENTON WILDE SAPTE LLP,BRN,5 Chancery LaneEC4A 1BU,,operations@sra.org.uk,,,447524
DENTON WILDE SAPTE LLP,BRN,The PinnacleMK9 1FE,,operations@sra.org.uk,, http//www.dentonwildesapte.com,447525
DENTON WILDE SAPTE LLP,BRN,124 Chancery LaneWC2A 1PT,,operations@sra.org.uk,,,492445
DEVONSHIRES,HO,30 Finsbury CircusEC2M 7DT,020 7628 7576,info@devonshires.co.uk,  020 7256 7318, http//www.devonshires.com,49857
DEWEY & LEBOEUF,HO,1 Minster CourtEC3R 7YL,020 7459 5000,operations@sra.org.uk, 020 7459 5099, http//www.deweyleboeuf.com,184760
DEWS WITCOMB,HO,87 London RoadLE2 0PF,0116 233 4499,operations@sra.org.uk, 0116 233 7904, http//www.dewswitcomb.com,69780
DFA LAW LLP,HO,2 Waterside WayNN4 7XD,01604 609560,info@dfalaw.co.uk, 01604 609561, http//www.dfalaw.co.uk,484839
DICKINSON DEES (NOMINEES) LIMITED,HO,St. Anns WharfNE1 3DX,0191 279 9000,law@dickinson-dees.com, 0191 2799100, http//www.dickinson-dees.com,77972
DICKINSON DEES LLP,HO,St. Anns WharfNE1 3DX,0191 279 9000,law@dickinson-dees.com, 0191 274 9100, http//www.dickinson-dees.com,449247
DICKINSON DEES LLP,BRN,Camden HouseTS17 6QY,01642 631700,law@dickinson-dees.com, 01642 631701, http//www.dickinson-dees.com,449248
DICKINSON DEES LLP,BRN,One TrinityNE1 2HF,0191 279 9000,law@dickinson-dees.com, 0191 279 9100, http//www.dickinson-dees.com,449249
DICKINSON DEES LLP,BRN,The Chocolate WorksYO23 1DE,01904 612233,law@dickinson-dees.com, 01904 464 350, http//www.dickinson-dees.com,460169
DICKINSON DEES LLP,BRN,Gate HouseEC4M 7LG,0844 984 1500,law@dickinson-dees.com, 0844 984 1501, http//www.dickinson-dees.com,510450
DICKINSON WOOD,HO,28 South ParadeDN1 2DJ,01302 329504,lgb@dickinsonwood.co.uk, 01302 323636, http//www.dickinsonwood.com,71992
DIXON LAW LIMITED,HO,The Round FoundryLS11 5WH,0113 204 2470,dixon@dixonlaw.co.uk, 0113 247 1521, http//www.dixonlaw.co.uk,417448
DL LEGAL LLP,HO,Rahere HouseN13 4JR,0845 456 9800,nick.lockett@dllegal.com, 0207 990 8900, http//www.dllegal.com,389348
DLA PIPER INTERNATIONAL LLP,HO,3 Noble StreetEC2V 7EE,08700 111 111,operations@sra.org.uk,,,386993
DLA PIPER UK LLP,HO,3 Noble StreetEC2V 7EE,08700 111 111,operations@sra.org.uk, 0207 796 6666, http//www.dlapiper.com,401322
DLA PIPER UK LLP,BRN,1 St Paul's PlaceS1 2JX,08700 111 111,operations@sra.org.uk,,,401419
DLA PIPER UK LLP,BRN,Princes ExchangeLS1 4BY,+44 (0) 8700 111 111,operations@sra.org.uk, +44 (0) 113 369 2369, http//www.dlapiper.com,401422
DLA PIPER UK LLP,BRN,Victoria Square HouseB2 4DL,08700 111 111,operations@sra.org.uk, 0121 262 5794, http//www.dlapiper.com,401423
DLA PIPER UK LLP,BRN,Seventh FloorL2 0NH,08700 111 111,operations@sra.org.uk, 0151 236 9208,,401424
DLA PIPER UK LLP,BRN,101 Barbirolli SquareM2 3DL,08700 111 111,operations@sra.org.uk, 0161 235 4111,,401425
DLA PIPER UK LLP,BRN,Carlton HouseM2 5PE,08700 111 111,operations@sra.org.uk, 0161 235 4111,,401426
DMB LAW,HO,144-146 St. Johns HillTN13 3PF,01732 228800,grace@dmblaw.co.uk, 01732 228818, http//www.dmblaw.co.uk,209074
DMH STALLARD LLP,HO,100 Queens RoadBN1 3YB,01273 329833,operations@sra.org.uk, 01273 735801, http//www.dmhstallard.com,490576
DMH STALLARD LLP,BRN,Gainsborough HouseRH11 7FZ,01293 605000,operations@sra.org.uk, 01293 543 760, http//www.dmhstallard.com,490578
DMH STALLARD LLP,BRN,6 New Street SquareEC4A 3BF,0207 822 1500,operations@sra.org.uk, 0207 842 2333,,490579
DMH TRUSTEES LTD,HO,100 Queens RoadBN1 3YB,01273 329833,operations@sra.org.uk, 01273 202885, http//www.dmhstallard.com,79599
DMH TRUSTEES LTD,BRN,Gainborough HouseRH11 7PZ,01293 605000,operations@sra.org.uk, 01293 543760, http//www.dmhstallard.com,79602
DMH TRUSTEES LTD,BRN,6 New Street SquareEC4A 3BF,0207 423 1000,operations@sra.org.uk, 0207 481 3002, http//www.dmhstallard.com,441923
DORADE LIMITED,HO,1 Broadstone HouseTQ6 9NR,01803 835 187,operations@sra.org.uk, 0207 900 6972,,523020
DORSEY & WHITNEY (EUROPE) LLP,HO,21 Wilson StreetEC2M 2TD,020 7588 0800,london@dorsey.com, 020 7588 0555, http//www.dorsey.com,272016
DORSEY & WHITNEY (EUROPE) LLP,BRN,Wellington HouseCB1 1BH,+44 (0) 1223 451 036,operations@sra.org.uk, +44 (0)1223 451 137,,417192
DRUCES LLP,HO,Salisbury HouseEC2M 5PS,020 7638 9271,info@druces.com, 020 7628 7525, http//www.druces.com,487134
DUANE  MORRIS,HO,10 Chiswell StreetEC1Y 4UQ,020 7786 2100,salaws@duanemorris.com, 020 7786 2101, http//www.duanemorris.com,310992
DUNDAS & WILSON LLP,HO,North West WingWC2B 4EZ,020 7240 2401,operations@sra.org.uk, 020 7420 2448, http//www.dundas-wilson.com,406303
DUNHAM SOLICITORS LLP,HO,12 Walker AvenueMK12 5TW,01908 311300,info@dunhamlaw.co.uk, 01908 227264, http//www.dunhamlaw.co.uk,424834
DUNHAM SOLICITORS LLP,BRN,Unit 4DNN4 8BS,,operations@sra.org.uk,,,497258
DWF LLP,HO,Centurion HouseM3 3AA,0161 603 5000,enquiries@dwf.co.uk, 0161 603 5050, http//www.dwf.co.uk,469044
DWF LLP,BRN,5 St Paul's SquareL3 9AE,0151 907 3000,enqurires@dwf.co.uk, 0151 907 3030, http//www.dwf.co.uk,469061
DWF LLP,BRN,Bridgewater PlaceLS11 5Dy,0113 261 6000,enquiries@dwf.co.uk, 0870 094 0939, http//www.dwf.co.uk,469063
DWF LLP,BRN,6 Winckley SquarePR1 3JJ,01772 556677,enquiries@dwf.co.uk, 0870 166 7161, http//www.dwf.co.uk,469064
DWF LLP,BRN,Capital HouseEC4N 7BL,0207 645 9500,enquiries@dwf.co.uk, 0207 645 9501, http//www.dwf.co.uk,489807
E S N SOLICITORS,BRN,141 Wood End LaneB24 8BD,0121 377 7773,operations@sra.org.uk, 0121 377 6621, http//www.esnsolicitors.com,498995
E-BUSINESSLEGAL,HO,38 Elmore StreetN1 3AL,020 7704 0253,linda.kabi@e-businesslegal.com,, http//www.e-businesslegal.com,369610
EATON RYAN & TAYLOR,HO,Lombard House 145B3 3LP,0121 236 1999,info@ert-law.co.uk, 0121 236 1991, http//www.ert-law.co.uk,173954
EDDOWES WALDRON,HO,12 St. Peters ChurchyardDE1 1TZ,01332 345461,info@ewlaw.co.uk, 01332 341361, http//www.ewlaw.co.uk,63367
EDWARD HANDS & LEWIS,HO,3 Rectory PlaceLE11 1UW,01509 216161,info@ehlsolicitors.co.uk, 01509 216322, http//www.ehlsolicitors.co.uk,50589
EDWARDS & CO,HO,GreenshawGU25 4PW,01344 843898,edwards89@aol.com, 01344 843910,,460380
EDWARDS ANGELL PALMER & DODGE UK LLP,HO,1 Fetter LaneEC4A 1JB,020 7583 4055,operations@sra.org.uk, 020 7353 7377, http//www.eapdlaw.com,472034
EDWIN COE LLP,HO,2 Stone BuildingsWC2A 3TH,020 7691 4000,law@edwincoe.com, 020 7691 4111, http//www.edwincoe.com,462112
